Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,A1 Area,A2 Area,A3 Area,1 Area,B1 Area,B2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
6307,24833,tr|R7KXZ0|R7KXZ0_9FIRM,0.28,17,2,2,,9.21E5,1.32E6,4.26E6,3.81E6,1.33E6,8.05E5,0.70:1.00:3.23:2.89:1.00:0.61,2.17E6,1.98E6,1.00:0.91,17730,30S ribosomal protein S7 OS=Ruminococcus sp. CAG:353 GN=rpsG PE=3 SV=1
20,1698,tr|A7UZU5|A7UZU5_BACUC,0.28,62,25,1,Carbamidomethylation; Oxidation (M),4.7E6,3.02E6,1.66E6,3.89E6,2.83E6,3.38E6,1.56:1.00:0.55:1.29:0.94:1.12,3.13E6,3.37E6,1.00:1.08,43542,Elongation factor Tu OS=Bacteroides uniformis (strain ATCC 8492 / DSM 6597 / CIP 103695 / JCM 5828 / NCTC 13054 / VPI 0061) GN=tuf PE=3 SV=1
5324,15655,tr|K5ZI71|K5ZI71_9PORP,0.28,6,2,1,Carbamidomethylation,3.02E5,0,5.88E5,1.14E6,0,0,1.00:0:1.95:3.79:0:0,2.97E5,3.82E5,1.00:1.29,65506,Uncharacterized protein OS=Parabacteroides goldsteinii CL02T12C30 GN=HMPREF1076_03767 PE=4 SV=1
2906,5682,tr|B7BBB8|B7BBB8_9PORP,0.28,23,8,1,Carbamidomethylation,8.88E5,9.87E5,5.66E5,1.25E6,8.81E5,9.42E5,0.90:1.00:0.57:1.27:0.89:0.95,8.14E5,1.03E6,1.00:1.26,46884,Na(+)-translocating NADH-quinone reductase subunit F OS=Parabacteroides johnsonii DSM 18315 GN=nqrF PE=3 SV=1
2275,11505,tr|R6D9P7|R6D9P7_9FIRM,0.28,23,7,1,,1.91E6,2.86E6,1.67E6,4.12E6,1.36E6,1.51E6,0.67:1.00:0.58:1.44:0.48:0.53,2.15E6,2.1E6,1.00:0.98,26903,30S ribosomal protein S2 OS=Ruminococcus sp. CAG:579 GN=rpsB PE=3 SV=1
1347,3521,tr|R7JJJ8|R7JJJ8_9PORP,0.28,32,13,1,Carbamidomethylation; Oxidation (M),3.27E6,3.68E6,3.13E6,4.39E6,4.41E5,4.5E6,0.89:1.00:0.85:1.19:0.12:1.22,3.36E6,3.44E6,1.00:1.02,56530,Methylmalonyl-CoA decarboxylase alpha subunit OS=Parabacteroides sp. CAG:409 GN=BN646_02531 PE=4 SV=1
2842,6910,tr|D7NF10|D7NF10_9BACT,0.28,13,9,1,,7.05E6,3.66E6,5.69E6,5.26E6,4.11E6,4.05E6,1.93:1.00:1.56:1.44:1.12:1.11,5.47E6,4.47E6,1.00:0.82,84962,Formate acetyltransferase OS=Prevotella oris C735 GN=HMPREF0665_02142 PE=4 SV=1
5957,24582,tr|R7AI24|R7AI24_9FIRM,0.28,9,3,1,Carbamidomethylation,1.6E6,5.28E5,4.23E5,4.95E5,5.72E5,9.49E5,3.02:1.00:0.80:0.94:1.08:1.80,8.5E5,6.72E5,1.00:0.79,48425,Sulfide dehydrogenase (Flavoprotein) subunit SudA OS=Ruminococcus sp. CAG:379 GN=BN633_01078 PE=4 SV=1
1822,10795,tr|A5KIN3|A5KIN3_9FIRM,0.28,22,7,1,Carbamidomethylation; Oxidation (M),3.28E6,3.64E6,3.44E6,0,8.36E6,0,0.90:1.00:0.94:0:2.30:0,3.45E6,2.79E6,1.00:0.81,41171,ABC transporter  ATP-binding protein OS=Ruminococcus torques ATCC 27756 GN=RUMTOR_00078 PE=3 SV=1
4005,9850,tr|R7DC12|R7DC12_9FIRM,0.28,9,6,1,,1.55E6,1.72E6,1.4E6,1.75E6,1.54E6,9.84E5,0.90:1.00:0.82:1.02:0.90:0.57,1.56E6,1.42E6,1.00:0.91,76947,Putative translation elongation factor G OS=Ruminococcus obeum CAG:39 GN=BN639_01390 PE=4 SV=1
4502,10949,tr|R5C9K1|R5C9K1_9BACE,0.27,5,5,1,,3.31E6,2.71E6,1.03E7,5.86E6,9.03E6,4.89E6,1.22:1.00:3.78:2.16:3.33:1.80,5.43E6,6.59E6,1.00:1.21,106574,TonB-dependent receptor plug domain protein OS=Bacteroides sp. CAG:598 GN=BN727_01369 PE=3 SV=1
445,841,tr|U2DK32|U2DK32_9BACE,0.27,29,23,1,Carbamidomethylation; Oxidation (M),9.79E5,1.68E6,1.98E6,-,1.35E6,2.48E6,0.58:1.00:1.18:-:0.81:1.48,1.54E6,1.92E6,1.00:1.24,99782,Pyruvate  phosphate dikinase OS=Bacteroides pyogenes F0041 GN=HMPREF1981_02819 PE=4 SV=1
238,494,tr|A0A150Y7X8|A0A150Y7X8_9FIRM,0.27,39,36,5,Carbamidomethylation; Oxidation (M),1.68E6,1.83E6,1.74E6,2.33E6,1.59E6,1.76E6,0.92:1.00:0.95:1.27:0.87:0.96,1.75E6,1.89E6,1.00:1.08,96835,Pyruvate  phosphate dikinase OS=Ruminococcus sp. DSM 100440 GN=AXF09_09655 PE=4 SV=1
3507,12050,tr|R6Y790|R6Y790_9BACE,0.27,10,7,7,,1.8E7,1.5E7,1.32E7,1.73E7,1.31E7,1.82E7,1.20:1.00:0.88:1.15:0.87:1.21,1.54E7,1.62E7,1.00:1.05,76735,Putative K(+)-stimulated pyrophosphate-energized sodium pump OS=Bacteroides sp. CAG:714 GN=hppA PE=3 SV=1
4531,17269,tr|K5YYR0|K5YYR0_9PORP,0.27,4,3,2,,5.29E6,7.1E6,5.19E6,6.26E6,4.97E6,4.4E6,0.74:1.00:0.73:0.88:0.70:0.62,5.86E6,5.21E6,1.00:0.89,76128,Uncharacterized protein OS=Parabacteroides johnsonii CL02T12C29 GN=HMPREF1077_02581 PE=4 SV=1
6387,26881,tr|R7IDV9|R7IDV9_9FIRM,0.27,3,1,1,Carbamidomethylation,1.09E6,5.01E5,0,7.38E5,5E5,5.48E5,2.18:1.00:0:1.47:1.00:1.09,5.32E5,5.95E5,1.00:1.12,59037,5'-nucleotidase C-terminal domain protein OS=Faecalibacterium sp. CAG:74 GN=BN770_02143 PE=3 SV=1
6567,24549,tr|A0A139K8L7|A0A139K8L7_BACUN,0.27,1,1,1,,9.55E5,7.85E5,0,2.2E6,0,0,1.22:1.00:0:2.80:0:0,5.8E5,7.33E5,1.00:1.26,114261,TonB-dependent receptor plug domain protein OS=Bacteroides uniformis GN=HMPREF2141_01950 PE=3 SV=1
2986,18240,tr|R7AD05|R7AD05_9BACE,0.27,25,3,1,,1.08E6,1.14E6,1.08E6,9.57E5,1.13E6,1.49E6,0.95:1.00:0.94:0.84:0.99:1.30,1.1E6,1.19E6,1.00:1.08,14777,50S ribosomal protein L11 OS=Bacteroides pectinophilus CAG:437 GN=rplK PE=3 SV=1
2338,14088,tr|E6UGZ9|E6UGZ9_RUMA7,0.27,30,5,1,Carbamidomethylation; Oxidation (M),6.97E5,3E5,1.64E6,1.06E6,8.66E5,1.16E6,2.33:1.00:5.48:3.52:2.89:3.86,9.96E5,1.02E6,1.00:1.02,24730,Uncharacterized protein OS=Ruminococcus albus (strain ATCC 27210 / DSM 20455 / JCM 14654 / NCDO 2250 / 7) GN=Rumal_0637 PE=4 SV=1
1823,3910,tr|D5ET63|D5ET63_PRER2,0.27,18,16,1,Carbamidomethylation; Oxidation (M),1.6E6,2.75E6,5.53E5,2E6,1.9E6,2.17E6,0.58:1.00:0.20:0.73:0.69:0.79,1.64E6,2.02E6,1.00:1.24,99769,Pyruvate  phosphate dikinase OS=Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23) GN=ppdK PE=4 SV=1
5903,21694,tr|A0A174QDM6|A0A174QDM6_9FIRM,0.27,8,2,1,,3.02E6,2.94E6,-,3.63E6,3.45E6,3.9E6,1.03:1.00:-:1.23:1.17:1.33,2.98E6,3.66E6,1.00:1.23,39692,30S ribosomal protein S1 OS=[Ruminococcus] torques GN=rpsA_1 PE=4 SV=1
5333,21034,tr|A0A174SIN6|A0A174SIN6_9BACE,0.27,4,2,1,,0,6.54E5,0,0,5.09E5,0,0:1.00:0:0:0.78:0,2.18E5,1.7E5,1.00:0.78,61904,Sulfatase OS=Bacteroides caccae GN=atsA_13 PE=4 SV=1
3856,7653,tr|R5MWR2|R5MWR2_9BACE,0.27,34,8,2,Carbamidomethylation,1.32E6,3.06E6,2.96E6,2.08E6,2.2E6,3.65E6,0.43:1.00:0.97:0.68:0.72:1.19,2.45E6,2.64E6,1.00:1.08,35339,ATP-dependent 6-phosphofructokinase OS=Bacteroides sp. CAG:1076 GN=pfkA PE=3 SV=1
4604,10757,tr|A0A069SKT0|A0A069SKT0_BACVU,0.27,18,6,1,Carbamidomethylation,2.78E6,3.42E6,4.44E6,1.39E6,3.73E6,4.2E6,0.81:1.00:1.30:0.41:1.09:1.23,3.37E6,2.98E6,1.00:0.88,50193,Tryptophan synthase OS=Bacteroides vulgatus str. 3975 RP4 GN=M099_0845 PE=3 SV=1
5710,19656,tr|D4LNB2|D4LNB2_9FIRM,0.27,11,3,1,,6.01E6,1.34E6,-,2.69E6,5.02E6,5.79E6,4.48:1.00:-:2.00:3.74:4.31,3.68E6,4.5E6,1.00:1.22,39996,Phosphoserine aminotransferase OS=Ruminococcus sp. SR1/5 GN=serC PE=3 SV=1
110,64,tr|R5C5B1|R5C5B1_9BACE,0.27,47,36,1,Carbamidomethylation; Oxidation (M),3.87E6,5.79E6,3.55E6,5.32E6,5.24E6,4.55E6,0.67:1.00:0.61:0.92:0.91:0.79,4.41E6,5.04E6,1.00:1.14,99728,Pyruvate phosphate dikinase OS=Bacteroides sp. CAG:598 GN=BN727_00105 PE=4 SV=1
6169,19473,tr|A0A078RAE2|A0A078RAE2_BACVU,0.27,7,3,1,Carbamidomethylation,9.42E5,1.66E6,8E5,1.98E6,1E6,1.23E6,0.57:1.00:0.48:1.19:0.60:0.74,1.13E6,1.4E6,1.00:1.24,61435,AMP-binding enzyme family protein OS=Bacteroides vulgatus str. 3775 SL(B) 10 (iv) GN=M097_1170 PE=4 SV=1
4861,25659,tr|R5SSL9|R5SSL9_9BACE,0.27,37,2,1,,2.09E6,1.8E6,1.2E6,1.7E6,2.23E6,1.89E6,1.16:1.00:0.67:0.94:1.24:1.05,1.7E6,1.94E6,1.00:1.14,8490,Acyl carrier protein OS=Bacteroides sp. CAG:661 GN=acpP PE=3 SV=1
2987,21150,tr|D1PT31|D1PT31_9BACT,0.26,12,4,1,Carbamidomethylation,8.15E6,1.03E7,4.06E6,3.55E6,8.81E6,1.15E7,0.79:1.00:0.40:0.35:0.86:1.12,7.5E6,7.85E6,1.00:1.05,36823,Glyceraldehyde-3-phosphate dehydrogenase OS=Prevotella bergensis DSM 17361 GN=gap PE=3 SV=1
5593,21517,tr|D4LMP1|D4LMP1_9FIRM,0.26,13,2,1,,0,8.28E5,1.48E6,5.74E5,6.84E5,5.96E5,0:1.00:1.79:0.69:0.83:0.72,7.7E5,6.18E5,1.00:0.80,19543,50S ribosomal protein L6 OS=Ruminococcus sp. SR1/5 GN=rplF PE=3 SV=1
811,2054,tr|R5PUX5|R5PUX5_9FIRM,0.26,22,20,1,Carbamidomethylation; Oxidation (M),1.49E6,1.21E6,1.04E6,0,1.41E6,1.62E6,1.23:1.00:0.86:0:1.16:1.34,1.25E6,1.01E6,1.00:0.81,96659,Pyruvate phosphate dikinase OS=Ruminococcus sp. CAG:724 GN=BN766_01323 PE=4 SV=1
5471,13881,tr|R5KD18|R5KD18_9BACT,0.26,4,4,1,,2.22E5,4.18E4,2.1E5,0,3.7E5,0,5.30:1.00:5.03:0:8.84:0,1.58E5,1.23E5,1.00:0.78,109522,Bifunctional preprotein translocase subunit SecD/SecF OS=Prevotella sp. CAG:1124 GN=BN467_00185 PE=3 SV=1
157,5097,tr|R6E1I0|R6E1I0_9FIRM,0.26,31,11,1,Carbamidomethylation; Oxidation (M),4.15E6,5.14E6,2.03E6,-,3.34E6,2.86E6,0.81:1.00:0.40:-:0.65:0.56,3.77E6,3.1E6,1.00:0.82,44188,Elongation factor Tu OS=Ruminococcus sp. CAG:563 GN=tuf PE=3 SV=1
6180,23376,tr|A0A173TIE8|A0A173TIE8_9FIRM,0.26,5,2,2,Carbamidomethylation,3.45E5,1.4E6,2.78E5,1E6,8.65E5,3.61E5,0.25:1.00:0.20:0.72:0.62:0.26,6.74E5,7.42E5,1.00:1.10,55236,Iron hydrogenase 1 OS=[Ruminococcus] torques GN=ERS852577_01480 PE=4 SV=1
6376,24323,tr|A0A173V5C7|A0A173V5C7_9FIRM,0.26,4,1,1,,3.4E6,2.53E6,-,2.15E6,4.19E6,4.45E6,1.35:1.00:-:0.85:1.66:1.76,2.97E6,3.6E6,1.00:1.21,40355,Cell division protein FtsZ OS=Faecalibacterium prausnitzii GN=ftsZ PE=3 SV=1
4140,16945,tr|R6I8C7|R6I8C7_9FIRM,0.26,6,3,1,,1.93E6,1.97E6,4.62E6,1.98E6,4.29E6,4.06E6,0.98:1.00:2.35:1.01:2.18:2.06,2.84E6,3.44E6,1.00:1.21,73136,Putative translation elongation factor G OS=Ruminococcus sp. CAG:177 GN=BN517_01702 PE=4 SV=1
3965,16925,tr|A0A0B1TYD5|A0A0B1TYD5_9DELT,0.26,2,2,1,,6.78E6,6.1E6,9.43E6,6.64E6,5.52E6,6.48E6,1.11:1.00:1.55:1.09:0.91:1.06,7.43E6,6.21E6,1.00:0.84,154305,DNA-directed RNA polymerase subunit beta' OS=Desulfovibrio sp. TomC GN=rpoC PE=3 SV=1
1598,14852,tr|R6W4M0|R6W4M0_9FIRM,0.26,25,8,1,Oxidation (M),6.26E6,3.83E6,4.55E6,4.95E6,5.27E6,7.33E6,1.63:1.00:1.19:1.29:1.37:1.91,4.88E6,5.85E6,1.00:1.20,35350,Uncharacterized protein OS=Ruminococcus sp. CAG:382 GN=BN636_00567 PE=4 SV=1
1953,2787,tr|R7A7Y9|R7A7Y9_9BACE,0.26,15,13,1,Oxidation (M),2.92E6,2.61E6,1.58E6,2E6,2.29E6,1.93E6,1.12:1.00:0.61:0.76:0.88:0.74,2.37E6,2.07E6,1.00:0.88,119454,Uncharacterized protein OS=Bacteroides sp. CAG:875 GN=BN800_00131 PE=4 SV=1
4490,13453,tr|R5C6H7|R5C6H7_9BACE,0.26,2,2,2,,6.58E5,1.44E6,1.75E6,1.37E5,1.44E6,1.99E6,0.46:1.00:1.21:0.10:1.00:1.38,1.28E6,1.19E6,1.00:0.93,122484,Uncharacterized protein OS=Bacteroides sp. CAG:598 GN=BN727_00346 PE=4 SV=1
5425,14964,tr|F0R455|F0R455_BACSH,0.26,8,4,3,,1.66E6,1.87E6,1.12E6,2.28E6,1.02E6,1.01E6,0.88:1.00:0.60:1.22:0.54:0.54,1.55E6,1.44E6,1.00:0.93,70637,DEAD/DEAH box helicase domain protein OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_2116 PE=3 SV=1
120,71,tr|B5CU80|B5CU80_BACPM,0.26,50,32,1,Carbamidomethylation; Oxidation (M),1.46E6,2.2E6,1.27E5,3.12E6,7.52E4,1.16E6,0.66:1.00:0.06:1.42:0.03:0.53,1.26E6,1.45E6,1.00:1.15,73472,Succinate dehydrogenase or fumarate reductase  flavoprotein subunit OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=sdhA PE=4 SV=1
112,110,tr|R5S708|R5S708_9BACE,0.26,45,35,1,Carbamidomethylation; Oxidation (M),9.21E5,1.02E6,4.6E5,1.27E6,9.47E5,7.4E5,0.91:1.00:0.45:1.25:0.93:0.73,7.99E5,9.87E5,1.00:1.23,99727,Pyruvate phosphate dikinase OS=Bacteroides sp. CAG:661 GN=BN750_00118 PE=4 SV=1
3983,10946,tr|A0A174XB89|A0A174XB89_9FIRM,0.25,25,7,1,Carbamidomethylation; Oxidation (M),2.63E6,1.77E6,7.09E5,1.34E6,1.21E6,1.64E6,1.48:1.00:0.40:0.75:0.68:0.92,1.71E6,1.4E6,1.00:0.82,30472,50S ribosomal protein L2 OS=[Ruminococcus] torques GN=rplB_2 PE=3 SV=1
5318,25755,tr|D4LMN6|D4LMN6_9FIRM,0.25,19,2,2,,1.31E6,1.69E6,2.44E6,2.36E6,1.94E6,1.84E6,0.77:1.00:1.44:1.40:1.15:1.09,1.81E6,2.05E6,1.00:1.13,16235,50S ribosomal protein L16 OS=Ruminococcus sp. SR1/5 GN=rplP PE=3 SV=1
4232,10688,tr|S3ZBJ7|S3ZBJ7_BACSE,0.25,14,5,1,Carbamidomethylation,2.82E5,3.25E5,1.87E5,0,2.91E5,3.41E5,0.87:1.00:0.57:0:0.90:1.05,2.64E5,2.11E5,1.00:0.80,54397,2-isopropylmalate synthase OS=Bacteroides stercoris CC31F GN=leuA PE=3 SV=1
5597,22589,tr|R5R1V7|R5R1V7_9FIRM,0.25,4,1,1,,3.79E6,2.89E6,6.16E6,3.22E6,3.65E6,3.84E6,1.31:1.00:2.14:1.12:1.26:1.33,4.28E6,3.57E6,1.00:0.83,40527,Uncharacterized protein OS=Ruminococcus torques CAG:61 GN=BN734_00846 PE=4 SV=1
5398,14108,tr|R5CJY7|R5CJY7_9BACT,0.24,6,4,1,,6.5E5,5.66E5,4.22E5,6.29E5,7.98E5,5.92E5,1.15:1.00:0.74:1.11:1.41:1.04,5.46E5,6.73E5,1.00:1.23,77737,Bifunctional preprotein translocase subunit SecD/SecF OS=Prevotella sp. CAG:1058 GN=BN458_01719 PE=3 SV=1
4545,16341,tr|E2ZKM1|E2ZKM1_9FIRM,0.24,12,4,4,Carbamidomethylation,5.54E6,5.17E6,6.6E6,3.69E6,8.18E6,6.3E6,1.07:1.00:1.28:0.71:1.58:1.22,5.77E6,6.03E6,1.00:1.04,34213,2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase OS=Faecalibacterium cf. prausnitzii KLE1255 GN=eda PE=4 SV=1
2431,8179,tr|R5Y8G4|R5Y8G4_9BACE,0.24,13,7,1,Carbamidomethylation,1.17E6,-,2.98E6,1.57E6,2.36E6,3.6E6,1.00:-:2.55:1.34:2.02:3.08,2.07E6,2.51E6,1.00:1.21,80554,Polyribonucleotide nucleotidyltransferase OS=Bacteroides sp. CAG:144 GN=pnp PE=3 SV=1
5730,15823,tr|R6YDS3|R6YDS3_9BACE,0.24,12,3,2,Carbamidomethylation,7.51E5,1.66E6,3.85E5,1.42E6,7.84E5,3.67E5,0.45:1.00:0.23:0.86:0.47:0.22,8.4E5,8.57E5,1.00:1.02,41497,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_02168 PE=4 SV=1
5258,13401,tr|R6HMD3|R6HMD3_9FIRM,0.24,31,6,5,Carbamidomethylation,3.77E6,2.2E6,2.6E6,3.65E6,2.2E6,3.3E6,1.71:1.00:1.18:1.66:1.00:1.50,2.94E6,3.16E6,1.00:1.07,23910,Elongation factor Ts OS=Phascolarctobacterium sp. CAG:266 GN=tsf PE=3 SV=1
2920,3608,tr|C6JGU7|C6JGU7_9FIRM,0.24,28,12,1,Carbamidomethylation,1.58E6,0,1.91E6,0,1.02E6,1.84E6,1.00:0:1.21:0:0.64:1.16,1.16E6,9.52E5,1.00:0.82,61240,Uncharacterized protein OS=Ruminococcus sp. 5_1_39BFAA GN=RSAG_03164 PE=3 SV=1
2584,3048,tr|R6MYM8|R6MYM8_9BACE,0.24,16,12,1,Carbamidomethylation,1.36E6,9.36E5,0,0,8.84E5,9.89E5,1.46:1.00:0:0:0.94:1.06,7.66E5,6.24E5,1.00:0.81,116626,TonB-linked outer membrane protein SusC/RagA family OS=Bacteroides sp. CAG:443 GN=BN659_01230 PE=3 SV=1
1863,2253,tr|R6ZR49|R6ZR49_9BACE,0.24,19,16,1,Carbamidomethylation,1.42E6,2.27E6,1.16E6,3.43E6,1.03E6,1.39E6,0.63:1.00:0.51:1.51:0.45:0.61,1.62E6,1.95E6,1.00:1.21,125195,Protein translocase subunit SecA OS=Bacteroides sp. CAG:875 GN=secA PE=3 SV=1
2450,13050,tr|R7I942|R7I942_9FIRM,0.24,15,4,1,Carbamidomethylation,0,4.16E6,4.71E6,0,4.11E6,3.26E6,0:1.00:1.13:0:0.99:0.78,2.96E6,2.46E6,1.00:0.83,33880,Fructose-1 6-bisphosphate aldolase class II OS=Faecalibacterium sp. CAG:74 GN=BN770_01545 PE=3 SV=1
3175,8892,tr|B5D2T3|B5D2T3_BACPM,0.24,35,6,4,,4.97E6,7.55E6,2.4E6,9.71E6,1.28E6,3.1E6,0.66:1.00:0.32:1.29:0.17:0.41,4.97E6,4.7E6,1.00:0.94,21667,50S ribosomal protein L25 OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=rplY PE=3 SV=1
2312,4461,tr|R5SRC4|R5SRC4_9BACE,0.24,21,11,2,Carbamidomethylation,1.24E6,1.3E6,4.11E5,2.1E6,5.02E5,7.76E5,0.96:1.00:0.32:1.62:0.39:0.60,9.83E5,1.13E6,1.00:1.15,77421,1 4-alpha-glucan branching enzyme OS=Bacteroides sp. CAG:661 GN=BN750_01151 PE=3 SV=1
5433,10182,tr|R7PA81|R7PA81_9BACT,0.24,14,9,2,,0,1.29E6,8.03E5,0,1.24E6,5.77E5,0:1.00:0.62:0:0.96:0.45,6.98E5,6.06E5,1.00:0.87,61530,Tetratricopeptide repeat protein OS=Prevotella sp. CAG:617 GN=BN736_01486 PE=4 SV=1
6501,31462,tr|C3WFU0|C3WFU0_FUSMR,0.23,11,1,1,,-,5.85E6,5.5E6,7.05E6,3.91E6,9.21E6,-:1.00:0.94:1.21:0.67:1.58,5.68E6,6.72E6,1.00:1.18,9474,50S ribosomal protein L28 OS=Fusobacterium mortiferum ATCC 9817 GN=rpmB PE=3 SV=1
4163,19787,tr|R7PDN5|R7PDN5_9BACT,0.23,25,4,2,,1.36E6,1.45E6,9.37E5,3.47E6,3.1E5,3.06E5,0.94:1.00:0.65:2.39:0.21:0.21,1.22E6,1.36E6,1.00:1.11,19863,30S ribosomal protein S16 OS=Prevotella sp. CAG:617 GN=rpsP PE=3 SV=1
5073,15960,tr|R6EW71|R6EW71_9BACT,0.23,11,4,1,Carbamidomethylation,9.96E5,1.16E6,1.21E6,1.34E6,1.23E6,1.51E6,0.86:1.00:1.04:1.15:1.05:1.30,1.12E6,1.36E6,1.00:1.21,49504,Nucleotide sugar dehydrogenase OS=Prevotella sp. CAG:520 GN=BN691_01060 PE=3 SV=1
3056,11739,tr|R5C999|R5C999_9BACE,0.23,48,6,1,,8.07E6,0,7.39E6,0,6.44E6,6.57E6,1.00:0:0.92:0:0.80:0.81,5.15E6,4.34E6,1.00:0.84,16609,Tetratricopeptide repeat protein OS=Bacteroides sp. CAG:598 GN=BN727_01261 PE=4 SV=1
4889,11249,tr|R5FHC0|R5FHC0_9FIRM,0.23,8,4,1,,5.17E5,3.95E5,6.23E5,5.17E5,5.8E5,6.75E5,1.31:1.00:1.57:1.31:1.47:1.71,5.12E5,5.91E5,1.00:1.15,64868,V-type ATP synthase alpha chain OS=Faecalibacterium sp. CAG:1138 GN=atpA PE=3 SV=1
981,1403,tr|R5C5A6|R5C5A6_9BACE,0.23,40,16,1,Carbamidomethylation,5.04E6,7.04E6,1.94E6,5.16E6,4.2E6,3.24E6,0.72:1.00:0.28:0.73:0.60:0.46,4.68E6,4.2E6,1.00:0.90,63846,Phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain II OS=Bacteroides sp. CAG:598 GN=BN727_00095 PE=3 SV=1
342,538,tr|R5VD89|R5VD89_9BACE,0.23,33,28,1,Carbamidomethylation; Oxidation (M),7.98E5,1.23E6,1.09E6,8.99E5,1.08E6,1.79E6,0.65:1.00:0.88:0.73:0.88:1.45,1.04E6,1.26E6,1.00:1.21,100645,Uncharacterized protein OS=Bacteroides plebeius CAG:211 GN=BN536_00864 PE=4 SV=1
6185,24419,tr|A0A173YV57|A0A173YV57_9FIRM,0.23,7,2,2,,1.51E6,2.12E6,2.47E6,1.53E6,3.07E6,2.23E6,0.71:1.00:1.17:0.72:1.45:1.05,2.03E6,2.28E6,1.00:1.12,45750,Cystathionine gamma-lyase OS=Faecalibacterium prausnitzii GN=mccB PE=3 SV=1
6094,18970,tr|R7KR02|R7KR02_9BURK,0.23,17,3,2,,6.65E5,5.91E5,3.24E5,5.68E5,6.55E5,5.81E5,1.12:1.00:0.55:0.96:1.11:0.98,4.99E5,6.02E5,1.00:1.21,31142,30S ribosomal protein S3 OS=Sutterella sp. CAG:521 GN=rpsC PE=3 SV=1
5666,19469,tr|A0A0D0I4H7|A0A0D0I4H7_9BACT,0.23,12,4,1,Carbamidomethylation,1.96E5,0,3.48E5,0,6.73E5,0,1.00:0:1.78:0:3.44:0,1.81E5,2.24E5,1.00:1.24,38471,Contig63  whole genome shotgun sequence OS=Prevotella sp. P5-119 GN=ST44_08740 PE=3 SV=1
3779,7394,tr|R5D2J1|R5D2J1_9BACT,0.23,21,7,2,Carbamidomethylation,9.71E5,2.62E6,1.49E6,2.57E6,1.36E6,1.8E6,0.37:1.00:0.57:0.98:0.52:0.69,1.69E6,1.91E6,1.00:1.13,61053,CTP synthase OS=Prevotella sp. CAG:255 GN=pyrG PE=3 SV=1
5278,15397,tr|A0A150Y5C4|A0A150Y5C4_9FIRM,0.23,12,4,1,Carbamidomethylation,1.78E6,2.56E6,1.85E6,1.17E6,2.12E6,1.89E6,0.70:1.00:0.72:0.46:0.83:0.74,2.06E6,1.73E6,1.00:0.84,39454,ATP-dependent 6-phosphofructokinase OS=Ruminococcus sp. DSM 100440 GN=pfkA PE=3 SV=1
4793,13892,tr|U6RIG7|U6RIG7_9BACE,0.23,10,4,1,Carbamidomethylation,2.1E6,4.73E6,0,4.93E6,7.68E5,0,0.44:1.00:0:1.04:0.16:0,2.28E6,1.9E6,1.00:0.83,48071,Uncharacterized protein OS=Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 GN=HMPREF1534_01522 PE=4 SV=1
5563,23892,tr|L9PWW0|L9PWW0_9BACT,0.23,13,4,1,,0,0,7.11E5,2.99E5,1.51E5,1.62E5,0:0:1.00:0.42:0.21:0.23,2.37E5,2.04E5,1.00:0.86,23232,50S ribosomal protein L4 OS=Prevotella nigrescens F0103 GN=rplD PE=3 SV=1
5876,23199,tr|V8CF75|V8CF75_9FIRM,0.23,9,2,1,,3.18E5,2.7E5,9.1E5,9.63E4,6.86E5,5.17E5,1.18:1.00:3.38:0.36:2.54:1.92,4.99E5,4.33E5,1.00:0.87,45145,Uncharacterized protein OS=Ruminococcus lactaris CC59_002D GN=HMPREF1202_00393 PE=4 SV=1
5554,19571,tr|A0A173S4X4|A0A173S4X4_9FIRM,0.23,9,3,1,,1.76E6,1.86E6,3.28E5,1.91E6,5.84E5,1.96E6,0.95:1.00:0.18:1.03:0.31:1.06,1.32E6,1.49E6,1.00:1.13,49433,Succinate-semialdehyde dehydrogenase (Acetylating) OS=[Ruminococcus] torques GN=sucD PE=4 SV=1
279,834,tr|B5CMC8|B5CMC8_9FIRM,0.22,38,31,1,Carbamidomethylation; Oxidation (M),4.51E6,3.66E6,5.97E6,5.84E6,6.24E6,4.52E6,1.23:1.00:1.63:1.60:1.71:1.24,4.71E6,5.53E6,1.00:1.17,96264,Pyruvate  phosphate dikinase OS=Ruminococcus lactaris ATCC 29176 GN=ppdK PE=4 SV=1
